filename,width,height,xmin,ymin,xmax,ymax,classes,labels
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/British_Shorthair_10.jpg,233,350,83,29,197,142,british_shorthair,9
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/german_shorthaired_119.jpg,500,500,128,22,240,222,german_shorthaired,14
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/english_setter_158.jpg,333,500,97,35,304,199,english_setter,13
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Siamese_178.jpg,500,400,32,18,363,369,siamese,32
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/pomeranian_162.jpg,222,300,19,32,123,129,pomeranian,24
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/newfoundland_137.jpg,500,333,105,30,362,286,newfoundland,22
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Siamese_150.jpg,500,333,300,2,489,204,siamese,32
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/german_shorthaired_131.jpg,500,375,90,209,246,357,german_shorthaired,14
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/english_setter_170.jpg,500,375,214,67,337,217,english_setter,13
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/english_setter_164.jpg,500,375,178,127,307,294,english_setter,13
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/german_shorthaired_125.jpg,500,375,157,56,264,116,german_shorthaired,14
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Siamese_144.jpg,500,335,160,21,340,230,siamese,32
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/newfoundland_123.jpg,500,333,263,67,358,164,newfoundland,22
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/saint_bernard_111.jpg,500,426,182,95,274,171,saint_bernard,28
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/scottish_terrier_126.jpg,500,375,181,1,386,173,scottish_terrier,30
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/saint_bernard_105.jpg,500,375,160,176,456,357,saint_bernard,28
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/pomeranian_189.jpg,300,225,97,21,173,102,pomeranian,24
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/basset_hound_112.jpg,374,500,129,146,314,321,basset_hound,3
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Siamese_193.jpg,333,500,125,68,282,236,siamese,32
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/shiba_inu_122.jpg,327,500,30,81,250,343,shiba_inu,31
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Egyptian_Mau_173.jpg,280,210,157,13,219,69,egyptian_mau,11
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/saint_bernard_139.jpg,333,500,95,161,188,239,saint_bernard,28
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/shiba_inu_136.jpg,500,375,139,106,228,216,shiba_inu,31
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/basset_hound_106.jpg,500,357,203,118,292,217,basset_hound,3
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Siamese_187.jpg,500,375,79,42,241,232,siamese,32
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Ragdoll_162.jpg,500,375,205,127,295,211,ragdoll,26
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Ragdoll_176.jpg,500,307,324,69,408,161,ragdoll,26
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/american_pit_bull_terrier_166.jpg,300,225,81,52,183,163,american_pit_bull_terrier,2
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/boxer_184.jpg,500,291,100,91,270,202,boxer,8
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/american_pit_bull_terrier_172.jpg,239,300,47,103,198,224,american_pit_bull_terrier,2
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/havanese_113.jpg,500,375,78,66,291,227,havanese,16
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/havanese_107.jpg,333,500,34,80,312,319,havanese,16
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/boxer_147.jpg,500,375,91,1,370,332,boxer,8
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/great_pyrenees_167.jpg,500,375,297,28,397,120,great_pyrenees,15
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/leonberger_123.jpg,500,403,19,24,134,111,leonberger,19
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/leonberger_137.jpg,500,333,102,28,405,297,leonberger,19
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/Ragdoll_189.jpg,425,319,120,11,250,150,ragdoll,26
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/boxer_153.jpg,500,300,117,1,347,251,boxer,8
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/japanese_chin_12.jpg,332,500,66,60,216,201,japanese_chin,17
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/staffordshire_bull_terrier_11.jpg,500,364,227,25,438,280,staffordshire_bull_terrier,34
/Users/ayushman/Desktop/Datasets/oxford-iiit-pet/images/staffordshire_bull_terrier_110.jpg,500,334,87,57,316,256,staffordshire_bull_terrier,34
